record_id,fulltext_status,screen_fulltext,screen_fulltext_reason,decision_source,decision_note
SCHPRISMA-000121,AVAILABLE,EXCLUDE,FT_DUPLICATE_DATASET_OR_REPORT,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-30,"The dissertation contains primary chapters that overlap the separately indexed Rusman publications, including the specificity/fitness study retained as SCHPRISMA-000188; it remains source provenance but is not counted again as an independent study."
SCHPRISMA-000127,AVAILABLE,EXCLUDE,FT_DUPLICATE_DATASET_OR_REPORT,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-30,"Preprint version of the published Afrotropical nectar-robbing study SCHPRISMA-000128; exclude from the independent primary count."
SCHPRISMA-000141,AVAILABLE,EXCLUDE,FT_NO_POLLINATOR_EVIDENCE,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-30,"Primary inventory of non-pollinating fig-wasp community structure and diversity; pollinating fig wasps provide system context but no focal pollinator response/service channel is measured."
SCHPRISMA-000153,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-30,"The study resolves mutual exclusion between pollination, ovule galling and seed production, but does not identify a floral attraction/display coordinate A whose value is evaluated by both audiences."
SCHPRISMA-000131,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-30,"Focused open review of floral volatile chemistry, pollination and defence; retain in the source registry but do not double-count it as a primary study."
SCHPRISMA-000147,AVAILABLE,EXCLUDE,FT_NO_ANTAGONIST_EVIDENCE,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-30,"Comparative Pedicularis study measures flower traits, pollinator visitation and seed production; no focal plant antagonist/exploiter response is established."
SCHPRISMA-000152,AVAILABLE,EXCLUDE,FT_DUPLICATE_DATASET_OR_REPORT,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-30,"BioRxiv version of the subsequently published flower-morphospace study; exclude the preprint from independent study counting and retain the version-of-record for citation chasing."
SCHPRISMA-000171,AVAILABLE,EXCLUDE,FT_DUPLICATE_DATASET_OR_REPORT,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-30,"Dissertation-level report from the Silene–Hadena programme overlaps separately indexed primary population-genetic and oviposition-choice studies; preserve as programme provenance, not an additional independent study."
SCHPRISMA-000173,AVAILABLE,EXCLUDE,FT_NO_ANTAGONIST_EVIDENCE,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-30,"Crop-domestication study evaluates floral reward chemistry and pollinator-health consequences; herbivory/defence is contextual rather than a measured antagonist response to the focal reward coordinate."
SCHPRISMA-000176,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,SOURCE_VERIFIED_BATCH2_FULLTEXT_2026-08-30,"Cucumber-beetle infestation is associated with lower pollinator visitation, but the focal contrast is antagonist occupancy rather than a manipulated or observed plant floral signal coordinate A."
